,edad,genero,salario,paises,titulo_academico,puesto_trabajo,años_experiencia,sector_laboral,tamaño_empresa,lenguaje_programacion
18168,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,Médico/farmacéutico,Startup,Python
18180,18-29,Mujer,15K-39K,Otros,Master,Business Analyst,3-5 years,Energía/Minería,Mediana,"Python, R, SQL"
18182,30-44,Hombre,+40K,Estados Unidos,Master,Data Analyst,3-5 years,ONG/Servicio,Pequeña,"Python, SQL"
18184,45-59,Hombre,No sabe/No contesta,Japon,Bachillerato,Business Analyst,I have never written code,Académico/Educación,Startup,No sabe/No contesta
18189,18-29,Hombre,0-14K,Japon,Grado,Business Analyst,< 1 years,Fabricación,Multinacional,Python
18193,30-44,Hombre,15K-39K,Polonia,Grado,Business Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
18197,18-29,Hombre,No sabe/No contesta,Taiwan,Grado,Data Analyst,< 1 years,Académico/Educación,Startup,Python
18204,18-29,Hombre,+40K,Australia,Grado,Data Analyst,5-10 years,Hostelería/Entretenimiento/Deportes,Grande,"Python, R, SQL"
18206,18-29,Hombre,0-14K,India,Master,Data Analyst,I have never written code,Otros,Grande,No sabe/No contesta
18256,18-29,Mujer,No sabe/No contesta,Corea del Sur,Estudios Universitarios,Business Analyst,< 1 years,Académico/Educación,Pequeña,Python
18269,18-29,Hombre,No sabe/No contesta,China,Master,Data Analyst,3-5 years,Médico/farmacéutico,Mediana,Python
18287,30-44,Hombre,+40K,Singapur,Grado,Business Analyst,< 1 years,Gobierno/servicio público,Grande,Python
18290,45-59,Mujer,+40K,Estados Unidos,Master,Data Analyst,1-3 years,Tecnológico,Multinacional, None
18291,18-29,Mujer,0-14K,India,Master,Data Analyst,3-5 years,Otros,Multinacional,"Python, SQL, C++"
18292,18-29,Hombre,No sabe/No contesta,Peru,Grado,Data Analyst,< 1 years,Marketing/CRM,Mediana,Python
18293,45-59,Hombre,+40K,Japon,Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Startup,Python
18298,18-29,Hombre,0-14K,India,Master,Data Analyst,1-3 years,Médico/farmacéutico,Grande,"Python, SQL"
18306,30-44,Hombre,No sabe/No contesta,Colombia,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Mediana,"Python, R, SQL"
18319,18-29,Hombre,No sabe/No contesta,China,Grado,Data Analyst,< 1 years,,No sabe/No contesta,"Python, SQL, Java"
18320,45-59,Hombre,0-14K,Mexico,Grado,Data Analyst,I have never written code,Gobierno/servicio público,Pequeña,No sabe/No contesta
18333,30-44,Hombre,15K-39K,India,Master,Data Analyst,5-10 years,Servicio en línea/Servicios basados ​​en Internet,Pequeña," SQL, Javascript, Other"
18350,18-29,Mujer,No sabe/No contesta,India,Master,Data Analyst,< 1 years,Contabilidad/Finanzas,Multinacional, R
18361,18-29,Hombre,0-14K,China,Master,Data Analyst,1-3 years,Tecnológico,Pequeña,"Python, SQL"
18375,18-29,Mujer,No sabe/No contesta,India,Master,Data Analyst,1-3 years,Médico/farmacéutico,Multinacional,"Python, SQL"
18384,18-29,Hombre,No sabe/No contesta,Egipto,Estudios Universitarios,Data Analyst,< 1 years,Energía/Minería,Startup, C++
18412,30-44,Hombre,+40K,España,Master,Data Analyst,< 1 years,Otros,Mediana,"Python, SQL"
18413,18-29,Mujer,No sabe/No contesta,Otros,Master,Business Analyst,< 1 years,Académico/Educación,Grande," R, SQL, Bash"
18415,18-29,Hombre,0-14K,Francia,Master,Data Analyst,1-3 years,Negocios en línea/ventas basadas en Internet,Pequeña,"Python, SQL"
18416,30-44,Hombre,+40K,Canada,Estudios Universitarios,Business Analyst,< 1 years,Otros,Grande,Python
18417,45-59,Hombre,0-14K,Japon,Grado,Business Analyst,5-10 years,Marketing/CRM,Grande,"Python, SQL"
18421,18-29,Mujer,15K-39K,India,Grado,Business Analyst,5-10 years,Marketing/CRM,Grande,"Python, R, SQL"
18434,45-59,Mujer,+40K,Estados Unidos,Grado,Data Analyst,I have never written code,Contabilidad/Finanzas,Startup,No sabe/No contesta
18439,18-29,Hombre,No sabe/No contesta,Turquia,Master,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R, SQL, MATLAB"
18457,30-44,Hombre,0-14K,Ucrania,Grado,Data Analyst,< 1 years,Fabricación,Grande,"Python, SQL"
18458,18-29,Hombre,+40K,Israel,Master,Data Analyst,3-5 years,Militar/Seguridad/Defensa,Multinacional,Python
18483,30-44,Mujer,0-14K,Hong Kong (S.A.R.),Grado,Data Analyst,10-20 years,Otros,Mediana," SQL, Other"
18486,30-44,Hombre,+40K,Irlanda,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Startup,"Python, R"
18489,30-44,Hombre,+40K,Estados Unidos,Grado,Data Analyst,5-10 years,Tecnológico,Multinacional,"Python, SQL, C++, MATLAB"
18515,18-29,Hombre,0-14K,Francia,Master,Data Analyst,< 1 years,Fabricación,Mediana," R, SQL, Javascript"
18520,30-44,Hombre,+40K,Corea del Sur,Grado,Data Analyst,5-10 years,Tecnológico,Grande,"Python, R, SQL, C++, Java"
18531,30-44,Hombre,+40K,Alemania,Master,Business Analyst,< 1 years,Fabricación,Multinacional,"Python, Other"
18541,18-29,Hombre,No sabe/No contesta,Francia,Master,Data Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Startup,"Python, R"
18547,18-29,Hombre,0-14K,India,Grado,Data Analyst,< 1 years,Marketing/CRM,Multinacional,"Python, SQL"
18557,18-29,Hombre,0-14K,India,Master,Data Analyst,3-5 years,Tecnológico,Multinacional,"Python, SQL"
18580,45-59,Hombre,15K-39K,India,Master,Data Analyst,< 1 years,Gobierno/servicio público,Grande,"Python, R"
18591,60-70+,Hombre,+40K,Australia,Grado,Business Analyst,10-20 years,Médico/farmacéutico,Startup, None
18593,30-44,Hombre,No sabe/No contesta,Colombia,Master,Data Analyst,3-5 years,Gobierno/servicio público,Mediana,"Python, R, C++"
18595,18-29,Hombre,0-14K,Brasil,Grado,Data Analyst,< 1 years,Tecnológico,Startup, None
18616,18-29,Hombre,0-14K,India,Grado,Data Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Grande,Python
18622,18-29,Hombre,No sabe/No contesta,China,Grado,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, C++"
18627,18-29,Hombre,No sabe/No contesta,China,Grado,Data Analyst,1-3 years,Académico/Educación,Pequeña,Python
18628,30-44,Hombre,+40K,Japon,Grado,Business Analyst,< 1 years,Tecnológico,Grande,Python
18629,30-44,Hombre,No sabe/No contesta,India,Grado,Data Analyst,5-10 years,Tecnológico,Multinacional,"Python, R, SQL"
18640,18-29,Mujer,No sabe/No contesta,Sri Lanka,Grado,Data Analyst,< 1 years,Académico/Educación,Grande,"Python, R"
18649,30-44,Hombre,+40K,Reino Unido,Master,Business Analyst,20+ years,Contabilidad/Finanzas,Multinacional,"Python, SQL, Other"
18664,45-59,Mujer,+40K,Taiwan,Grado,Data Analyst,I have never written code,Contabilidad/Finanzas,Multinacional,No sabe/No contesta
18666,60-70+,Hombre,+40K,Reino Unido,Master,Business Analyst,20+ years,Tecnológico,Multinacional," SQL, Java, Javascript"
18670,30-44,Hombre,+40K,Sudafrica,Estudios Universitarios,Data Analyst,10-20 years,Seguro/Evaluación de Riesgos,Multinacional, SQL
18677,30-44,Hombre,0-14K,India,Grado,Business Analyst,5-10 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
18678,18-29,Hombre,No sabe/No contesta,Kenia,Grado,Data Analyst,1-3 years,Marketing/CRM,Startup,"Python, Java"
18685,18-29,Mujer,No sabe/No contesta,China,Master,Data Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Grande,Python
18686,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,Otros,Multinacional,"Python, R, SQL, C, C++, Java, Javascript, Julia, Swift, Bash, MATLAB"
18688,30-44,Hombre,+40K,Australia,Master,Data Analyst,5-10 years,Gobierno/servicio público,Grande,"Python, R, SQL, Bash, Other"
18689,18-29,Hombre,15K-39K,Japon,Master,Data Analyst,< 1 years,Fabricación,Grande,"Python, C"
18695,30-44,Mujer,+40K,Sudafrica,Doctorado,Data Analyst,3-5 years,Contabilidad/Finanzas,Multinacional, R
18698,18-29,Hombre,0-14K,España,Grado,Business Analyst,I have never written code,Contabilidad/Finanzas,Mediana,No sabe/No contesta
18705,30-44,Hombre,0-14K,Alemania,Grado,Data Analyst,3-5 years,Radio/Comunicaciones,Startup,Python
18709,18-29,Hombre,0-14K,Turquia,Grado,Business Analyst,3-5 years,Negocios en línea/ventas basadas en Internet,Startup,Python
18715,30-44,Hombre,+40K,Singapur,Doctorado Profesional,Data Analyst,1-3 years,Negocios en línea/ventas basadas en Internet,Pequeña,"Python, SQL, MATLAB"
18728,18-29,Mujer,15K-39K,India,Master,Business Analyst,1-3 years,Seguro/Evaluación de Riesgos,Multinacional,Python
18740,18-29,Hombre,0-14K,Turquia,Grado,Data Analyst,< 1 years,Contabilidad/Finanzas,Grande,Python
18753,30-44,Hombre,0-14K,Nigeria,Master,Business Analyst,1-3 years,Negocios en línea/ventas basadas en Internet,Startup," R, Javascript, Swift, Other"
18754,18-29,Mujer,+40K,Paises Bajos,Master,Data Analyst,< 1 years,Tecnológico,Multinacional,"Python, R, SQL"
18758,18-29,Mujer,0-14K,Otros,Master,Data Analyst,< 1 years,Ventas al por menor,Grande, SQL
18772,30-44,Hombre,No sabe/No contesta,Otros,Grado,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, R, SQL, Javascript, Other"
18775,18-29,Mujer,0-14K,Alemania,Grado,Data Analyst,1-3 years,Contabilidad/Finanzas,Grande,"Python, SQL"
18781,18-29,Hombre,0-14K,Otros,Master,Data Analyst,3-5 years,Radio/Comunicaciones,Grande," Java, MATLAB"
18784,18-29,Hombre,No sabe/No contesta,Nigeria,Grado,Data Analyst,< 1 years,ONG/Servicio,Startup, SQL
18787,30-44,Hombre,No sabe/No contesta,Peru,Estudios Universitarios,Data Analyst,5-10 years,Radio/Comunicaciones,Startup,"Python, SQL, Javascript, Other"
18795,30-44,Mujer,+40K,Otros,Master,Data Analyst,< 1 years,ONG/Servicio,Startup," SQL, Other"
18801,45-59,Mujer,+40K,Estados Unidos,Master,Data Analyst,1-3 years,Gobierno/servicio público,Multinacional,"Python, R, SQL"
18805,18-29,Hombre,No sabe/No contesta,Bielorusia,Grado,Data Analyst,1-3 years,Otros,Startup,"Python, SQL"
18824,18-29,Mujer,15K-39K,Reino Unido,Master,Data Analyst,1-3 years,Médico/farmacéutico,Mediana," R, SQL"
18825,18-29,Hombre,15K-39K,Polonia,Master,Business Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,"Python, R, SQL"
18831,18-29,Hombre,0-14K,Ghana,Grado,Data Analyst,1-3 years,Contabilidad/Finanzas,Startup,"Python, SQL"
18854,18-29,Hombre,0-14K,Rusia,Master,Business Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Multinacional,"Python, SQL"
18855,30-44,Hombre,0-14K,Tailandia,Master,Data Analyst,< 1 years,ONG/Servicio,Grande,Python
18858,30-44,Hombre,0-14K,Peru,Grado,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R"
18861,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,Tecnológico,Startup,Python
18864,18-29,Hombre,0-14K,Brasil,Grado,Data Analyst,5-10 years,Radio/Comunicaciones,Multinacional,"Python, SQL, Julia"
18873,45-59,Hombre,+40K,Estados Unidos,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Pequeña,"Python, R"
18880,45-59,Hombre,+40K,Estados Unidos,Estudios Universitarios,Data Analyst,3-5 years,Fabricación,Mediana, R
18886,45-59,Mujer,+40K,Reino Unido,Master,Data Analyst,I have never written code,Gobierno/servicio público,Grande,No sabe/No contesta
18904,18-29,Hombre,No sabe/No contesta,Bangladesh,Grado,Data Analyst,I have never written code,Contabilidad/Finanzas,Startup,No sabe/No contesta
18906,45-59,Hombre,0-14K,Otros,Doctorado,Data Analyst,5-10 years,Hostelería/Entretenimiento/Deportes,Startup,Python
18911,45-59,Mujer,15K-39K,España,Estudios Universitarios,Data Analyst,1-3 years,Tecnológico,Multinacional," SQL, Java, Javascript"
18914,18-29,Hombre,No sabe/No contesta,Estados Unidos,Master,Business Analyst,1-3 years,,No sabe/No contesta,"Python, R, SQL, C, C++, MATLAB"
18919,30-44,Hombre,0-14K,Egipto,Grado,Data Analyst,3-5 years,Tecnológico,Pequeña,"Python, R, SQL, C, C++, Java, Bash"
18951,18-29,Mujer,+40K,Dinamarca,Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Grande, R
18969,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,I have never written code,Tecnológico,Pequeña,No sabe/No contesta
18976,30-44,Hombre,No sabe/No contesta,Brasil,Master,Business Analyst,3-5 years,Tecnológico,Multinacional,"Python, R, SQL"
18978,60-70+,Hombre,+40K,Reino Unido,Master,Business Analyst,20+ years,Contabilidad/Finanzas,Mediana,"Python, SQL"
18988,18-29,Mujer,0-14K,Vietnam,Estudios Universitarios,Business Analyst,I have never written code,Ventas al por menor,Multinacional,No sabe/No contesta
18990,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,1-3 years,Tecnológico,Mediana,"Python, R, SQL"
18993,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Multinacional,"Python, SQL"
18997,18-29,Hombre,No sabe/No contesta,Colombia,Grado,Data Analyst,1-3 years,Ventas al por menor,Pequeña,"Python, SQL, Bash"
19002,45-59,Hombre,+40K,Estados Unidos,Estudios Universitarios,Data Analyst,3-5 years,Ventas al por menor,Grande,"Python, SQL"
19011,30-44,Hombre,0-14K,Brasil,Master,Business Analyst,10-20 years,Médico/farmacéutico,Grande,"Python, Other"
19015,30-44,Mujer,+40K,Estados Unidos,Master,Business Analyst,1-3 years,Ventas al por menor,Pequeña,"Python, R, SQL"
19018,18-29,Mujer,+40K,Republica Checa,Grado,Data Analyst,I have never written code,Envío/Transporte,Multinacional,No sabe/No contesta
19019,18-29,Hombre,No sabe/No contesta,India,Estudios Universitarios,Data Analyst,< 1 years,Otros,Multinacional,"Python, SQL"
19021,30-44,Mujer,+40K,Estados Unidos,Master,Business Analyst,1-3 years,Hostelería/Entretenimiento/Deportes,Pequeña,"Python, R, SQL, C, Java, Javascript"
19043,30-44,Hombre,0-14K,Nigeria,Doctorado,Business Analyst,I have never written code,Energía/Minería,Grande,No sabe/No contesta
19045,18-29,Mujer,No sabe/No contesta,Kenia,Grado,Data Analyst,1-3 years,Contabilidad/Finanzas,Startup, R
19048,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,Otros,Grande,"Python, R, SQL"
19050,30-44,Hombre,+40K,Estados Unidos,Master,Data Analyst,5-10 years,Médico/farmacéutico,Pequeña," SQL, Other"
19052,18-29,Mujer,0-14K,Pakistan,Master,Business Analyst,< 1 years,Académico/Educación,Pequeña,Python
19053,30-44,Mujer,0-14K,Colombia,Grado,Data Analyst,< 1 years,Gobierno/servicio público,Pequeña,"Python, SQL, Javascript"
19055,18-29,Hombre,+40K,India,Estudios Universitarios,Business Analyst,5-10 years,Académico/Educación,Pequeña,"Python, R, C, Javascript"
19073,18-29,Hombre,0-14K,Otros,Grado,Data Analyst,1-3 years,Marketing/CRM,Startup,"Python, SQL"
19084,30-44,Hombre,0-14K,China,Grado,Data Analyst,10-20 years,Tecnológico,Pequeña, Other
19093,30-44,Hombre,0-14K,Pakistan,Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Startup,Python
19096,30-44,Hombre,+40K,Japon,Doctorado,Data Analyst,3-5 years,Envío/Transporte,Mediana," SQL, Other"
19122,45-59,Mujer,+40K,Portugal,Master,Business Analyst,5-10 years,Tecnológico,Grande,"Python, SQL"
19126,18-29,Hombre,0-14K,Nigeria,Grado,Business Analyst,3-5 years,Contabilidad/Finanzas,Mediana, None
19130,18-29,Hombre,No sabe/No contesta,Otros,Grado,Data Analyst,1-3 years,Marketing/CRM,Startup, Other
19132,30-44,Hombre,0-14K,Nigeria,Master,Data Analyst,3-5 years,Energía/Minería,Pequeña,"Python, SQL"
19136,18-29,Hombre,15K-39K,Reino Unido,Grado,Business Analyst,< 1 years,Ventas al por menor,Mediana,"Python, SQL"
19144,18-29,Hombre,0-14K,India,Master,Business Analyst,I have never written code,Contabilidad/Finanzas,Pequeña,No sabe/No contesta
19164,18-29,Hombre,15K-39K,India,Grado,Business Analyst,1-3 years,Tecnológico,Mediana,"Python, SQL"
19165,18-29,Mujer,No sabe/No contesta,India,Prefiero no responder,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, SQL, Java"
19166,30-44,Hombre,+40K,Turquia,Grado,Data Analyst,< 1 years,Otros,Startup,"Python, R, SQL"
19193,18-29,Hombre,0-14K,India,Grado,Data Analyst,1-3 years,Radio/Comunicaciones,Multinacional,"Python, SQL"
19200,45-59,Mujer,No sabe/No contesta,Otros,Master,Data Analyst,10-20 years,,No sabe/No contesta,"Python, SQL, C, C++"
19227,18-29,Hombre,0-14K,India,Master,Data Analyst,1-3 years,ONG/Servicio,Pequeña," R, SQL"
19236,30-44,Hombre,No sabe/No contesta,Otros,Master,Business Analyst,< 1 years,Otros,Grande,"Python, SQL"
19250,18-29,Mujer,No sabe/No contesta,Otros,Bachillerato,Data Analyst,I have never written code,ONG/Servicio,Startup,No sabe/No contesta
19264,45-59,Hombre,+40K,Taiwan,Master,Data Analyst,20+ years,Contabilidad/Finanzas,Pequeña,"Python, SQL, Javascript, Other"
19289,18-29,Mujer,0-14K,India,Grado,Data Analyst,1-3 years,Otros,Grande,"Python, R"
19291,30-44,Hombre,0-14K,Iran,Master,Business Analyst,1-3 years,Tecnológico,Startup,"Python, Java"
19298,30-44,Prefiero no describirme,0-14K,Rusia,Master,Business Analyst,1-3 years,Energía/Minería,Grande,Python
19301,18-29,Hombre,0-14K,Nigeria,Grado,Business Analyst,< 1 years,Tecnológico,Multinacional,"Python, MATLAB"
19302,18-29,Hombre,0-14K,Japon,Master,Data Analyst,1-3 years,Fabricación,Mediana,Python
19305,30-44,Hombre,+40K,Australia,Master,Data Analyst,3-5 years,Contabilidad/Finanzas,Multinacional,"Python, SQL, Other"
19328,18-29,Hombre,+40K,Canada,Grado,Data Analyst,1-3 years,Ventas al por menor,Grande,"Python, SQL"
19338,18-29,Hombre,0-14K,India,Master,Data Analyst,1-3 years,Académico/Educación,Grande,"Python, R, SQL, MATLAB"
19350,30-44,Hombre,No sabe/No contesta,Estados Unidos,Grado,Data Analyst,< 1 years,Académico/Educación,No sabe/No contesta,"Python, SQL"
19369,18-29,Mujer,No sabe/No contesta,Taiwan,Master,Business Analyst,3-5 years,,No sabe/No contesta, SQL
19381,30-44,Hombre,No sabe/No contesta,Argentina,Master,Data Analyst,< 1 years,Gobierno/servicio público,Mediana," SQL, Other"
19397,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,1-3 years,Académico/Educación,Grande,"Python, SQL"
19398,30-44,Mujer,15K-39K,Paises Bajos,Master,Business Analyst,5-10 years,Ventas al por menor,Pequeña,"Python, SQL"
19408,30-44,Hombre,15K-39K,India,Master,Business Analyst,3-5 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
19425,30-44,Hombre,No sabe/No contesta,Reino Unido,Master,Data Analyst,I have never written code,Hostelería/Entretenimiento/Deportes,Multinacional,No sabe/No contesta
19428,18-29,Hombre,0-14K,Pakistan,Grado,Data Analyst,1-3 years,Tecnológico,Pequeña,"Python, SQL, C, Other"
19439,30-44,Mujer,0-14K,India,Doctorado Profesional,Data Analyst,5-10 years,Otros,Pequeña,"Python, R, SQL"
19443,18-29,Hombre,0-14K,India,Prefiero no responder,Data Analyst,< 1 years,Médico/farmacéutico,Pequeña,"Python, SQL"
19447,18-29,Hombre,15K-39K,India,Master,Data Analyst,3-5 years,Tecnológico,Grande,"Python, SQL"
19455,30-44,Hombre,+40K,Otros,Master,Data Analyst,5-10 years,Tecnológico,Pequeña,"Python, SQL, Bash"
19465,18-29,Hombre,15K-39K,Alemania,Master,Data Analyst,< 1 years,Académico/Educación,Startup,Python
19468,30-44,Mujer,0-14K,Malasia,Master,Data Analyst,5-10 years,Fabricación,Grande,"Python, SQL, C, Other"
19470,18-29,Hombre,+40K,Estados Unidos,Master,Data Analyst,1-3 years,Fabricación,Multinacional,"Python, R, SQL"
19490,30-44,Hombre,+40K,Estados Unidos,Grado,Data Analyst,5-10 years,Médico/farmacéutico,Startup,"Python, SQL"
19492,30-44,Hombre,0-14K,Otros,Prefiero no responder,Data Analyst,< 1 years,Fabricación,Pequeña,"Python, SQL"
19509,45-59,Hombre,0-14K,Vietnam,Doctorado,Data Analyst,10-20 years,Académico/Educación,Mediana, R
19515,45-59,Hombre,No sabe/No contesta,Paises Bajos,Grado,Data Analyst,5-10 years,Contabilidad/Finanzas,No sabe/No contesta," R, Other"
19523,30-44,Hombre,No sabe/No contesta,Pakistan,Master,Data Analyst,1-3 years,Tecnológico,Grande, Other
19531,30-44,Hombre,+40K,Nigeria,Doctorado,Business Analyst,10-20 years,Contabilidad/Finanzas,Multinacional," SQL, C, C++, Java, Javascript"
19548,18-29,Hombre,No sabe/No contesta,Estados Unidos,Master,Data Analyst,3-5 years,Tecnológico,Multinacional,"Python, R, SQL, Javascript, Bash"
19559,30-44,Hombre,15K-39K,India,Master,Business Analyst,5-10 years,Tecnológico,Multinacional," R, SQL"
19562,30-44,Mujer,+40K,Estados Unidos,Master,Data Analyst,3-5 years,Seguro/Evaluación de Riesgos,Multinacional,"Python, SQL"
19565,18-29,Mujer,0-14K,India,Master,Data Analyst,< 1 years,Seguro/Evaluación de Riesgos,Mediana,"Python, R, SQL"
19566,30-44,Hombre,+40K,India,Master,Business Analyst,1-3 years,Contabilidad/Finanzas,Startup,Python
19582,30-44,Hombre,No sabe/No contesta,Francia,Master,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, R, SQL"
19584,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,3-5 years,Tecnológico,Startup,Python
19591,18-29,Hombre,0-14K,Mexico,Master,Data Analyst,1-3 years,Envío/Transporte,Multinacional," SQL, C++, Javascript"
19594,30-44,Hombre,0-14K,China,Master,Data Analyst,< 1 years,Fabricación,Grande,"Python, R, MATLAB"
19599,18-29,Prefiero no decirlo,No sabe/No contesta,China,Grado,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, SQL, C, Java"
19606,30-44,Hombre,+40K,Estados Unidos,Master,Business Analyst,1-3 years,Seguro/Evaluación de Riesgos,Multinacional," R, SQL"
19612,45-59,Hombre,+40K,Singapur,Grado,Business Analyst,1-3 years,Tecnológico,Multinacional,Python
19617,18-29,Mujer,0-14K,Taiwan,Master,Data Analyst,1-3 years,Negocios en línea/ventas basadas en Internet,Mediana,"Python, R, SQL, Java, Javascript"
19622,30-44,Hombre,0-14K,Singapur,Grado,Data Analyst,I have never written code,Servicio en línea/Servicios basados ​​en Internet,Multinacional,No sabe/No contesta
19626,18-29,Hombre,0-14K,India,Grado,Business Analyst,3-5 years,Tecnológico,Startup,"Python, SQL, C, C++, Java, Javascript"
19631,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,1-3 years,,No sabe/No contesta,"Python, Other"
19642,30-44,Hombre,15K-39K,Otros,Master,Business Analyst,1-3 years,Energía/Minería,Pequeña,Python
19668,18-29,Mujer,No sabe/No contesta,Taiwan,Bachillerato,Data Analyst,< 1 years,,No sabe/No contesta,"Python, R"
19673,18-29,Mujer,0-14K,Rusia,Grado,Business Analyst,1-3 years,Marketing/CRM,Pequeña,"Python, R"
19679,18-29,Mujer,0-14K,Uganda,Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Pequeña,"Python, R"
19681,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,Ventas al por menor,Mediana,"Python, SQL"
19682,18-29,Mujer,0-14K,Iraq,Master,Data Analyst,1-3 years,Ventas al por menor,Pequeña,Python
19712,45-59,Hombre,0-14K,Taiwan,Master,Data Analyst,1-3 years,Académico/Educación,Startup, SQL
19723,30-44,Hombre,No sabe/No contesta,Turquia,Grado,Data Analyst,< 1 years,Gobierno/servicio público,Mediana,"Python, SQL"
19735,30-44,Mujer,0-14K,Otros,Doctorado,Data Analyst,3-5 years,Otros,Pequeña,Python
19736,30-44,Hombre,+40K,Estados Unidos,Master,Data Analyst,5-10 years,Envío/Transporte,Mediana,"Python, R, SQL"
19737,18-29,Mujer,No sabe/No contesta,Indonesia,Estudios Universitarios,Data Analyst,1-3 years,Médico/farmacéutico,Multinacional, None
19762,18-29,Mujer,No sabe/No contesta,Indonesia,Estudios Universitarios,Data Analyst,< 1 years,Académico/Educación,Startup,Python
19780,18-29,Hombre,15K-39K,Vietnam,Estudios Universitarios,Business Analyst,< 1 years,Contabilidad/Finanzas,Startup,Python
19792,18-29,Hombre,No sabe/No contesta,Reino Unido,Grado,Data Analyst,3-5 years,Tecnológico,Multinacional,"Python, SQL, Other"
19799,18-29,Hombre,No sabe/No contesta,Egipto,Grado,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, SQL, MATLAB"
19812,30-44,Mujer,+40K,Otros,Grado,Business Analyst,1-3 years,Gobierno/servicio público,Mediana,"Python, R, SQL"
19830,30-44,Hombre,0-14K,China,Grado,Business Analyst,< 1 years,Contabilidad/Finanzas,Grande,"Python, SQL, C, C++"
19838,18-29,Mujer,No sabe/No contesta,Egipto,Grado,Business Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Startup,"Python, SQL"
19853,30-44,Hombre,0-14K,India,Doctorado,Data Analyst,3-5 years,Servicio en línea/Servicios basados ​​en Internet,Startup,"Python, SQL, Java, Javascript"
19855,18-29,Hombre,No sabe/No contesta,Japon,Grado,Data Analyst,< 1 years,Contabilidad/Finanzas,Multinacional,"Python, R"
19862,45-59,Hombre,+40K,Australia,Master,Business Analyst,20+ years,Otros,Startup,"Python, Other"
19863,30-44,Hombre,No sabe/No contesta,Reino Unido,Doctorado,Data Analyst,10-20 years,Tecnológico,Startup,"Python, R, SQL, MATLAB"
19884,18-29,Hombre,15K-39K,India,Grado,Data Analyst,1-3 years,Tecnológico,Grande, Other
19892,30-44,Mujer,No sabe/No contesta,Estados Unidos,Master,Data Analyst,10-20 years,Médico/farmacéutico,Multinacional, None
19897,18-29,Hombre,+40K,Paises Bajos,Grado,Data Analyst,3-5 years,Servicio en línea/Servicios basados ​​en Internet,Multinacional,"Python, R, SQL"
19905,30-44,Hombre,15K-39K,Reino Unido,Master,Data Analyst,< 1 years,Contabilidad/Finanzas,Grande," SQL, Javascript"
19915,30-44,Hombre,0-14K,India,Master,Data Analyst,< 1 years,Otros,Multinacional, None
19919,45-59,Hombre,+40K,Irlanda,Doctorado Profesional,Data Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Startup,Python
19927,18-29,Hombre,0-14K,India,Grado,Data Analyst,3-5 years,Tecnológico,Multinacional,"Python, SQL, C++, MATLAB"
19929,18-29,Hombre,0-14K,India,Grado,Data Analyst,1-3 years,Ventas al por menor,Mediana,"Python, SQL, Java"
19934,18-29,Hombre,0-14K,Nigeria,Grado,Data Analyst,1-3 years,Hostelería/Entretenimiento/Deportes,Startup,"Python, SQL"
19940,45-59,Hombre,15K-39K,Colombia,Master,Business Analyst,20+ years,Negocios en línea/ventas basadas en Internet,Startup,"Python, R, SQL, C, Javascript, MATLAB"
19955,30-44,Mujer,No sabe/No contesta,Egipto,Master,Business Analyst,3-5 years,Contabilidad/Finanzas,Startup,Python
